teacherEmail,teacherName,date,observationType,duration,focusAreas,rawNotes
MichaelScott@sitcomhighschool.com,Michael Scott,2025-01-25,formal,,[],"Jan 25, 2025 – Entrepreneurship Unit: Elevator Pitch Day
CSTP Focus: 1, 3, 5

Pre-Observation:
Michael shared that students had prepared short business “elevator pitches” and would present them to the class. His stated goal: build presentation skills and sharpen concise communication.

During Observation:

Michael opened with an off-script monologue: “Let me tell you why I’m the best at business.”

Students presented 60-second pitches; topics ranged from dog-walking apps to sustainable clothing brands

Peers used a “Shark Tank” style rubric, but no real calibration beforehand

Michael gave over-the-top praise (“That idea’s going to change the world!”), but minimal constructive critique

Closure was rushed; students unsure how/when they’d receive feedback

Strengths:

Student creativity and risk-taking encouraged

Class atmosphere warm and safe

Genuine enthusiasm for student ideas

Growth Areas:

Greater structure in assessment tools

Needs more purposeful modeling of feedback and clarity of expectations
Rating: 2"
,Unknown Teacher,2024-10-24,informal,,[],"CSTP 4: Strategies
Showed clip from The Apprentice to introduce negotiation

Discussion included strong student examples, but minimal teacher framing

Humor used well, but lacked formative checks for understanding
Rating: 3"
TobiasFünke@sitcomhighschool.com,Tobias Fünke,2024-11-05,walkthrough,,[],"Nov 5, 2024 – CSTP 4: Strategies
Tobias modeled emotion-based improvisation with student volunteers

Students prompted to respond as characters using only gibberish

Excellent student participation, though directions were occasionally unclear

Debrief was fun but lacked clear instructional targets
Rating: 2"
SheldonCooper@sitcomhighschool.com,Sheldon Cooper,2025-01-27,formal,,[],"Jan 27, 2025 – Function Transformations (Algebra 2)
CSTP Focus: 3, 4, 5

Pre-Observation:
Sheldon shared the focus would be on graphing and describing transformations of quadratic and absolute value functions. His goal was to help students describe and predict shifts using both algebraic rules and visual models.

Observation Notes
Opening (8:00–8:10 AM)

Warm-up question on the board: “What do the graphs of y = x² and y = |x| have in common?”

Sheldon reviewed correct answers by solving aloud with precise notation

Humor included a reference to a “mathematical singularity of laziness”

Students copied notes silently, with one clarifying question asked

Direct Instruction (8:10–8:30 AM)

Presented transformation rules for vertical and horizontal shifts

Used colored overlays on projector to demonstrate translations

“Think-pair-share” was assigned, but Sheldon walked away during student talk time

Cold-called 3 students using randomized spinner app

Guided Practice (8:30–8:45 AM)

Students worked through a matching activity using graph cards and equations

One pair asked a conceptual question about reflection; Sheldon answered with “If you read the textbook, you’d know this”

Provided support to two groups but skipped the group that had remained idle for several minutes

Closure (8:45–8:50 AM)

Exit slip with two transformations and one justification prompt

Sheldon reminded students: “I expect mathematical elegance. You know who you are.”

Bell rang with several students still filling out their slips

Strengths
Mathematically rich instruction, highly accurate and conceptually sound

Clear expectations for precision and academic vocabulary

Integration of multiple representations (algebraic and graphical)

Areas for Growth
Improve pacing to allow more student-led discussion and feedback cycles

Need to support all learners, especially those struggling or hesitant

Consider warmer tone when fielding questions or misunderstandings

Overall Rating: 3"
,Unknown Teacher,2024-11-19,walkthrough,,[],"Nov 19, 2024 – CSTP 3: Planning
Students rehearsing for winter coffeehouse performance

Phoebe coached duet harmonies with live acoustic feedback

No clear warm-up routine in place

Students excited but several unsure of transitions or order
Rating: 2"
,Unknown Teacher,2025-01-11,walkthrough,,[],"Jan 11, 2025 – CSTP 6: Professionalism
Promoted student participation in National History Day competition

Noted student absences with a clipboard labeled “The Log of Absentees”

Shared enthusiasm for field trip to Gettysburg, pending approval

Strong professional pride; included references to Schrute family “war reenactment league”
Rating: 4"
LeslieKnope@sitcomhighschool.com,Leslie Knope,2024-11-01,walkthrough,,[],"Nov 1, 2024 – CSTP 3: Planning
Mid-year reflection journal prompts distributed (“How have you grown as a leader?”)

Students worked on vision boards for spring projects

Binders reviewed during class—several 3-inch thick with tabs

Leslie offered gentle reminders to quieter students to speak up
Rating: 4"
,Unknown Teacher,2024-10-24,informal,,[],"CSTP 3: Planning and Differentiation
Multiple tasks happening: editing, researching, photo selection

Clear routines for each station, students rotated with timers

Struggling students paired intentionally with peer editors

One student off-task; Liz redirected quickly and calmly
Rating: 4"
,Unknown Teacher,2024-11-15,informal,,[],"CSTP 1: Equity and Inclusion
Discussion roles rotated intentionally

Students shared diverse perspectives on the prompt: “What does justice mean?”

Terry referenced cultural context in the novel analysis

Multiple opportunities for students to make personal connections
Rating: 4"
,Unknown Teacher,2024-09-13,walkthrough,,[],"- Students greeted with music and high-fives
- Emphasis on sportsmanship and encouragement
- Rules reviewed with humor and clarity
- Positive tone, students visibly comfortable"""
,Unknown Teacher,2025-01-23,formal,,[],"Formal Observation – Jan 23, 2025 – Literary Argument Essay Workshop
CSTP Focus: 2, 3, 5

Pre-Observation:
Terry explained the goal was to help students revise literary argument essays using peer feedback, rubrics, and targeted modeling.

During Observation:

Started with brief mini-lesson on transitions and clarity in writing

Modeled revision of a sample paragraph, asking students for feedback

Peer feedback round was structured with sentence starters (“One suggestion I have is…”)

Terry circulated with checklist but feedback was primarily verbal

Lesson ended with student reflection prompt: “What did you change today that made your writing stronger?”

Strengths:

Strong relationships evident

Clear structures for discussion and writing

Promotes metacognition through reflection

Growth Areas:

Consider more differentiated feedback for struggling writers

Use of digital tools for feedback tracking could help
Rating: 3"
